10451511;Wieger Cornelissen
10454930;Chen He 0001
10455636;Hongbing Ma
10457352;Jorrit N. Herder
10457695;Zhenqian Feng
10469196;Stefano Cresci
10476387;Zhiqin Qian
10477591;Alessio Vita
10479070;Vincenzo Castorani
10499982;Janette Lee
10507885;Kalyan Kumar Jena
10514274;F. Richard Yu
10514353;Hong Jiang
10515308;Pascale Zaraté
10515643;Y.-D. Kim
10515950;Mainak Mondal
10515951;Cengiz Kahraman
10516360;Igor S. Pandzic
10517033;Hongwei Yang
10517917;Min Wu 0002
10518126;Junmin Li
10518468;Janghoon Kim
10518639;Hongyun Xie
10519745;Vu Ngoc Phat
10519896;Fei Gao 0014
10520262;Karsten E. Thompson
10522321;Lijie Zhang
10522507;Yuri Iwano
10522652;Steven S. Seiden
10523595;Hisashi Yamamoto
10524054;Frédéric Gardi
10524523;Zhiping Wang
10524627;Xinxing Wu
10526946;Ping Xiong
10527055;Sridhar Seshadri
10528390;Cindy L. Bethel
10528430;Brendan J. Frey
10531626;Lei Wan
10532432;Juan Miguel Tapia García
10533359;Radu Calinescu
10533522;Peng Wu 0009
10534262;Yanxiao Zhao
10535253;Jinshu Su
10535424;Shangfei Wang
10554848;Lauri Gurguryan
10564254;Xiaoming Gao
10564869;Sourav Kumar Bhoi
10565983;Chin-Shang Li
10566529;Péter Balázs
10568370;Wen-Yen Lin
10574358;Lizhong Xiong
10585007;Y. T. Yeh
10585199;Alberto Prieto
10585729;Xin Ma 0004
10587052;Jianping Sun
10587071;Songping Zhou
10590215;Jin Wu 0002
10591161;Eiji Soga
10599243;Diane Otília Lima Fontes
10604820;Hugues Déprés
10614185;Isidro Ramos
10616291;Guang Yu
10616674;Susan T. Francis
10618538;Xin Han
10618591;H. Dakhlaoui
10620477;Antonio Cárdenas
10620604;Mu Xia
10621482;Juan Pazos
10621808;H. K. Hsiao
10624240;Hirofumi Tomita
10628685;Tatjana Fedtschenko
10631835;Norbert Haas
10637457;D. Prasanna
10639210;Daisy Monika Lal
10640368;Eriita G. Jones
10641644;Tedros M. Berhane
10645188;Michael Brudno
10645582;Henning Redestig
10645603;Masayoshi Tomizuka
10646372;Hideaki Yamashita
10647178;Min Zhou
10649183;Hironobu Takagi
10649726;Michael Thomas
10652194;Helmut Prodinger
10671255;Raju Bhukya
10673977;Hongyuan Gao
10674062;Alain Martel
10675741;Xuening Chu
10676258;Miguel Pignatelli
10677216;Maurizio Tesconi
10677543;Pedro M. Q. Aguiar
10678152;Qing Liu
10678714;Edward M. Rubin
10679203;Roberto Giambò
10679302;Karen P. Patten
10680482;Martin Reczko
10693201;H. Paul Zeiger
10693897;Ingerid Reinertsen
10694288;Jin'ichi Yamaguchi
10694449;Andreas L. Opdahl
10697968;Lifeng Lai
10698190;Jaeil Kim
10698602;Hua Zhu
10699198;Stefan Ruzika
10702303;Satish Chand
10702648;V. Gourishankar
10705008;Daan Apeldoorn
10706692;An Ren
10711873;Tamás Sámuel Tasi
10713727;Vladislav V. Matyunin
10723713;James Sterbenz
10726566;Sergey Poslavskiy
10732123;Yaonan Wang
10733782;Adrian J. Gibbs
10733962;Dmitry Korkin
10734653;Geoffrey F. Miller
10738767;Juan Miguel Medina 0002
10739636;Braham Himed
10740673;Guangyan Zhang
10741983;Xinning Wang
10752183;Zhen Wang
10753273;Jun Cheng 0002
10753580;Shun-Yuan Wang
10754481;Satrajit Chatterjee
10755798;Zhen Wang 0002
10755948;Yingpu Deng
10757044;D. Araki
10762776;Minerva M. Yeung
10763209;King N. Ngan
10763293;Martín López Nores
10766381;Ross Wilson
10773169;Nathan Johnson
10774494;Zhenzhan Wang
10774590;Jangwoo Park
10775122;Muhammad Bilal 0002
10775515;Rui Zhang 0034
10775964;Riste Skrekovski
10776448;Tomoya Suzuki
10777663;Jun Song 0002
10778010;B. R. Myers
10778188;R. Matsuki
